Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Home_page_002_TS,,,,11-03-2025 09:45:01,11-03-2025 09:45:08,7.224s,FAILED
,,,,,,,
Test Cases/Manual Recording/TC_Amazon_Home_004,,,,11-03-2025 09:45:01,11-03-2025 09:45:04,3.005s,FAILED
"openBrowser("""")",,,,11-03-2025 09:45:02,11-03-2025 09:45:04,2.726s,FAILED
,,,,,,,
Test Cases/Record and Playback/TC_Amazon_Home_005,,,,11-03-2025 09:45:04,11-03-2025 09:45:06,1.921s,FAILED
"openBrowser("""")",,,,11-03-2025 09:45:04,11-03-2025 09:45:06,1.857s,FAILED
,,,,,,,
Test Cases/Record and Playback/TC_Amazon_Home_006,,,,11-03-2025 09:45:06,11-03-2025 09:45:08,1.962s,FAILED
"openBrowser("""")",,,,11-03-2025 09:45:06,11-03-2025 09:45:08,1.880s,FAILED
